Month,Unployment Rate
Feb 2020__Unemployed,3.5
Mar 2020__Unemployed,3.5
Apr 2020__Unemployed,9
May 2020__Unemployed,9
Jun 2020__Unemployed,8.6
Jul 2020__Unemployed,8.7
Aug 2020__Unemployed,8.6
Sept 2020__Unemployed,7
Oct 2020__Unemployed,6.8
Nov 2020__Unemployed,6.8
Dec 2020__Unemployed,6.8
Jan 2021__Unemployed,6.4
Feb 2021__Unemployed,6.2
Mar 2021__Unemployed,6.2
Apr 2021__Unemployed,6.2
May 2021__Unemployed,6.1
June 2021__Unemployed,6.2
July 2021__Unemployed,6
August 2021__Unemployed,6
September 2021__Unemployed,5.8
October 2021__Unemployed,5.7
November 2021__Unemployed,5.4
December 2021__Unemployed,5.4
January 2022__Unemployed,5.4
February 2022__Unemployed,5
