Month,Unemploment rate
Feb 2020__Unemployed,3.6
Mar 2020__Unemployed,3.7
Apr 2020__Unemployed,12.5
May 2020__Unemployed,9.6
Jun 2020__Unemployed,8.1
Jul 2020__Unemployed,6.8
Aug 2020__Unemployed,6
Sept 2020__Unemployed,5.4
Oct 2020__Unemployed,5
Nov 2020__Unemployed,4.7
Dec 2020__Unemployed,4.4
Jan 2021__Unemployed,4.3
Feb 2021__Unemployed,4.3
Mar 2021__Unemployed,4.2
"Apr 2021__Unemployed	",4.1
May 2021__Unemployed,4.2
June 2021__Unemployed,4.3
July 2021__Unemployed,4.2
August 2021__Unemployed,4
September 2021__Unemployed,3.8
October 2021__Unemployed,3.7
November 2021__Unemployed,3.9
December 2021__Unemployed,3.9
January 2022__Unemployed,3.8
February 2022__Unemployed,3.7
